,指数代码,指数简称,样本数,收盘点位,涨跌幅,PE滚动,成交量,成交额,总市值,自由流通市值
459,CESIBT,中华创新医药,30,11124.4504,-0.0422,,5704.8269,217.8349448088,23324.5769673081,10893.9408359065
460,CESMOT,中华港股通护城河,40,3746.8277,-0.0386,,6187.36488,296.7431480321,65826.3023931838,7484.1343099434
461,CESPEL,中华港股通泛休闲娱乐,30,3588.0304,-0.0487,,5377.46398,242.7142533341,53255.545403315,5274.4075552685
462,CESRET,中华房地产信托基金,30,2388.1574,-0.0102,,237.68449,4.5771499613,2127.0759438017003,405.549919166
463,CESVAL,中华港股通价值,40,3481.9462,-0.0156,,12455.87384,45.1271604449,13681.5940704481,140.8725869049
464,CESYLV,中华高股息低波动,40,2610.6024,-0.0129,,8579.20591,87.10799895129999,51248.884574474905,24004.2397419199
465,CN2310,国证50,50,7388.7394,-0.0414,,40472.51711,1303.6278873672,234097.81038811782,105905.705974051
466,CN5073,国证能源,0,2369.16,-0.0006,11.6311,45612.03371,351.29569900660005,31805.7297377083,7261.8305936854
467,CN5074,国证非银,0,5334.957,-0.027,12.6146,13323.18509,235.3014863316,35473.093296347004,16145.5258249168
468,CN5075,国证软件,0,6184.8382,-0.0335,36.6869,25397.25506,330.7065262112,18594.4826202406,11154.263889161499
469,CN5077,国证电影,0,1332.5729,-0.0233,29.5421,3806.13803,31.257731009,2073.7344442975,777.3380302738001
470,CN5079,国证中药,0,8715.5173,-0.0187,27.7865,8890.26558,130.5746316936,8638.3993683813,3865.2136481248
471,CN5082,国证航天,0,6260.793,-0.0138,57.151,5351.28949,111.0180621031,8541.329227289,4102.5823908304
